A Ion Radius,X Ion Radius,t,μ,B NumberofProtons,X1 NumberofProtons,B SpecificHeat,X1 SpecificHeat,X2 SpecificHeat,X3 SpecificHeat,X4 SpecificHeat,A1 Density,A2 Density,B Density,B FirstIonization,X4 FirstIonization,B AtomicMass,A2 MeltingPoint,B MeltingPoint,X3 MeltingPoint,Ef (eV)
76.0,220.0,0.76667988,0.240909091,32,53,0.32,0.214,0.214,0.214,0.214,0.534,0.534,5.32,7.8994,10.4513,72.64,453.85,1211.45,386.65,0.551679971
102.0,220.0,0.834023383,0.240909091,32,53,0.32,0.214,0.214,0.214,0.214,0.971,0.971,5.32,7.8994,10.4513,72.64,371.15,1211.45,386.65,-2.274048723
138.0,220.0,0.927268233,0.240909091,32,53,0.32,0.214,0.214,0.214,0.214,0.862,0.862,5.32,7.8994,10.4513,72.64,336.5,1211.45,386.65,-0.961723977
152.0,220.0,0.963530119,0.240909091,32,53,0.32,0.214,0.214,0.214,0.214,1.53,1.53,5.32,7.8994,10.4513,72.64,312.79,1211.45,386.65,-1.201308147
167.0,220.0,1.00238214,0.240909091,32,53,0.32,0.214,0.214,0.214,0.214,1.87,1.87,5.32,7.8994,10.4513,72.64,301.7,1211.45,386.65,-0.928094735
76.0,220.0,0.724233935,0.313636364,50,53,0.228,0.214,0.214,0.214,0.214,0.534,0.534,7.29,7.3439,10.4513,118.71,453.85,505.21,386.65,0.597660667
102.0,220.0,0.787849078,0.313636364,50,53,0.228,0.214,0.214,0.214,0.214,0.971,0.971,7.29,7.3439,10.4513,118.71,371.15,505.21,386.65,-2.225967027
138.0,220.0,0.875931584,0.313636364,50,53,0.228,0.214,0.214,0.214,0.214,0.862,0.862,7.29,7.3439,10.4513,118.71,336.5,505.21,386.65,-0.924060281
152.0,220.0,0.910185891,0.313636364,50,53,0.228,0.214,0.214,0.214,0.214,1.53,1.53,7.29,7.3439,10.4513,118.71,312.79,505.21,386.65,-1.224097451
167.0,220.0,0.946886935,0.313636364,50,53,0.228,0.214,0.214,0.214,0.214,1.87,1.87,7.29,7.3439,10.4513,118.71,301.7,505.21,386.65,-0.976984039
76.0,220.0,0.617414771,0.540909091,82,53,0.129,0.214,0.214,0.214,0.214,0.534,0.534,11.3,7.4167,10.4513,207.2,453.85,600.75,386.65,0.992991
102.0,220.0,0.671647149,0.540909091,82,53,0.129,0.214,0.214,0.214,0.214,0.971,0.971,11.3,7.4167,10.4513,207.2,371.15,600.75,386.65,-1.831061694
138.0,220.0,0.746738135,0.540909091,82,53,0.129,0.214,0.214,0.214,0.214,0.862,0.862,11.3,7.4167,10.4513,207.2,336.5,600.75,386.65,-0.699924948
152.0,220.0,0.775940185,0.540909091,82,53,0.129,0.214,0.214,0.214,0.214,1.53,1.53,11.3,7.4167,10.4513,207.2,312.79,600.75,386.65,-0.863548118
