A1 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,A1 Specific Heat,B Specific Heat,X3 Specific Heat,X4 Specific Heat,Ion Specific Heat,A2 Density,Ion Density,Ion AtomicRadius,A1 Firstionization,A2 Firstionization,X3 Firstionization,X4 Firstionization,Ion Firstionization,Ion AtomicMass,X1 Melting Point,X3 Melting Point,Ion Melting Point,Adsorption energy(ev)
11,18,18,1.228,0.32,0.479,0.479,0.647,0.971,1.54,2.2,5.1391,5.1391,12.9676,12.9676,6.1132,40.078,172.31,172.31,1112.15,-2.166247802
11,18,18,1.228,0.32,0.479,0.479,1.023,0.971,1.74,1.7,5.1391,5.1391,12.9676,12.9676,7.6462,24.305,172.31,172.31,923.15,1.335308003
11,18,18,1.228,0.32,0.479,0.479,0.824,0.971,0.0017,0.57,5.1391,5.1391,12.9676,12.9676,17.4228,18.998,172.31,172.31,53.63,-6.828724471
19,18,18,0.757,0.32,0.479,0.479,3.582,0.862,0.534,2.1,4.3407,4.3407,12.9676,12.9676,5.3917,6.941,172.31,172.31,453.85,-3.065609443
19,18,18,0.757,0.32,0.479,0.479,0.388,0.862,7.13,1.5,4.3407,4.3407,12.9676,12.9676,9.3942,65.38,172.31,172.31,692.88,2.939546259
19,18,18,0.757,0.32,0.479,0.479,0.757,0.862,0.862,2.8,4.3407,4.3407,12.9676,12.9676,4.3407,39.098,172.31,172.31,336.5,-2.328286464
19,18,18,0.757,0.32,0.479,0.479,1.228,0.862,0.971,2.2,4.3407,4.3407,12.9676,12.9676,5.1391,22.99,172.31,172.31,371.15,-1.588413507
19,18,18,0.757,0.32,0.479,0.479,0.897,0.862,2.7,1.8,4.3407,4.3407,12.9676,12.9676,5.9858,26.982,172.31,172.31,933.4,1.604891496
19,18,18,0.757,0.32,0.479,0.479,0.647,0.862,1.54,2.2,4.3407,4.3407,12.9676,12.9676,6.1132,40.078,172.31,172.31,1112.15,-3.078479652
19,18,18,0.757,0.32,0.479,0.479,1.023,0.862,1.74,1.7,4.3407,4.3407,12.9676,12.9676,7.6462,24.305,172.31,172.31,923.15,1.047394725
19,18,18,0.757,0.32,0.479,0.479,0.824,0.862,0.0017,0.57,4.3407,4.3407,12.9676,12.9676,17.4228,18.998,172.31,172.31,53.63,-5.213970046
37,18,18,0.363,0.32,0.479,0.479,3.582,1.53,0.534,2.1,4.1771,4.1771,12.9676,12.9676,5.3917,6.941,172.31,172.31,453.85,-3.194760603
37,18,18,0.363,0.32,0.479,0.479,0.388,1.53,7.13,1.5,4.1771,4.1771,12.9676,12.9676,9.3942,65.38,172.31,172.31,692.88,2.467942862
37,18,18,0.363,0.32,0.479,0.479,0.757,1.53,0.862,2.8,4.1771,4.1771,12.9676,12.9676,4.3407,39.098,172.31,172.31,336.5,-2.477235817
37,18,18,0.363,0.32,0.479,0.479,1.228,1.53,0.971,2.2,4.1771,4.1771,12.9676,12.9676,5.1391,22.99,172.31,172.31,371.15,-1.430853602
37,18,18,0.363,0.32,0.479,0.479,0.897,1.53,2.7,1.8,4.1771,4.1771,12.9676,12.9676,5.9858,26.982,172.31,172.31,933.4,0.916937753
37,18,18,0.363,0.32,0.479,0.479,0.647,1.53,1.54,2.2,4.1771,4.1771,12.9676,12.9676,6.1132,40.078,172.31,172.31,1112.15,-3.469620368
37,18,18,0.363,0.32,0.479,0.479,1.023,1.53,1.74,1.7,4.1771,4.1771,12.9676,12.9676,7.6462,24.305,172.31,172.31,923.15,0.647958628
37,18,18,0.363,0.32,0.479,0.479,0.824,1.53,0.0017,0.57,4.1771,4.1771,12.9676,12.9676,17.4228,18.998,172.31,172.31,53.63,-4.935473795
55,18,18,0.242,0.32,0.479,0.479,3.582,1.87,0.534,2.1,3.8939,3.8939,12.9676,12.9676,5.3917,6.941,172.31,172.31,453.85,-3.46912126
